ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta200_10_6,200×10,200,10,4,2010504237,2000000,11209,12029.0261035,215.9365348763401,13267,100000,200000,numpy_quicksort,26.513447487999656,True,10,10
Ta200_10_6,200×10,200,10,5,2010505246,2000000,11178,12028.9589155,216.3253697694671,13297,100000,200000,numpy_quicksort,28.16156830899945,True,10,10
Ta200_10_7,200×10,200,10,1,2010601210,2000000,11610,12489.480037,215.1938273967688,13780,100000,200000,numpy_quicksort,25.216993525999897,True,10,10
Ta200_10_7,200×10,200,10,2,2010602219,2000000,11587,12489.253474,215.0541612921672,13737,100000,200000,numpy_quicksort,25.5554958040002,True,10,10
Ta200_10_7,200×10,200,10,3,2010603228,2000000,11628,12489.3954445,215.1508757827797,13740,100000,200000,numpy_quicksort,25.22498047499994,True,10,10
Ta200_10_7,200×10,200,10,4,2010604237,2000000,11564,12489.3408405,215.1953837627103,13898,100000,200000,numpy_quicksort,27.85379875000035,True,10,10
Ta200_10_7,200×10,200,10,5,2010605246,2000000,11608,12489.496405,215.1289340728139,13786,100000,200000,numpy_quicksort,20.660325436999983,True,10,10
Ta200_10_8,200×10,200,10,1,2010701210,2000000,11578,12438.2673465,218.0559912626952,13670,100000,200000,numpy_quicksort,20.23179366,True,10,10
Ta200_10_8,200×10,200,10,2,2010702219,2000000,11592,12438.206765,217.9985389559212,13687,100000,200000,numpy_quicksort,20.96682377100001,True,10,10
Ta200_10_8,200×10,200,10,3,2010703228,2000000,11539,12438.1938145,217.972324572196,13721,100000,200000,numpy_quicksort,21.197587602,True,10,10
Ta200_10_8,200×10,200,10,4,2010704237,2000000,11525,12438.2788735,217.92098489326085,13618,100000,200000,numpy_quicksort,22.48193364900009,True,10,10
Ta200_10_8,200×10,200,10,5,2010705246,2000000,11555,12438.3988695,218.18607327050748,13670,100000,200000,numpy_quicksort,21.49072525400004,True,10,10
Ta200_10_9,200×10,200,10,1,2010801210,2000000,11258,12186.0532395,213.53859003566632,13409,100000,200000,numpy_quicksort,22.17330626499995,True,10,10
Ta200_10_9,200×10,200,10,2,2010802219,2000000,11343,12185.6196505,213.3648471656867,13382,100000,200000,numpy_quicksort,20.416992367000034,True,10,10
Ta200_10_9,200×10,200,10,3,2010803228,2000000,11297,12186.244366,213.42591030745928,13508,100000,200000,numpy_quicksort,21.783933946999923,True,10,10
Ta200_10_9,200×10,200,10,4,2010804237,2000000,11387,12186.479244,213.61525717028616,13455,100000,200000,numpy_quicksort,20.468817626999908,True,10,10
Ta200_10_9,200×10,200,10,5,2010805246,2000000,11334,12186.2177395,213.4349377989613,13416,100000,200000,numpy_quicksort,21.5006159510001,True,10,10
Ta200_10_10,200×10,200,10,1,2010901210,2000000,11432,12307.561481,211.7705465532656,13667,100000,200000,numpy_quicksort,20.532785000000104,True,10,10
Ta200_10_10,200×10,200,10,2,2010902219,2000000,11454,12307.449794,211.94932235469685,13460,100000,200000,numpy_quicksort,23.110466618999908,True,10,10
Ta200_10_10,200×10,200,10,3,2010903228,2000000,11447,12307.4622745,211.93864556937555,13531,100000,200000,numpy_quicksort,21.954466335000006,True,10,10
Ta200_10_10,200×10,200,10,4,2010904237,2000000,11472,12307.6265175,212.10251211162023,13532,100000,200000,numpy_quicksort,22.201545964999923,True,10,10
